"ParkCode","LocationType","StationID","variable","mean","sd","N","SE","parm","inc.10.4yr","inc.20.4yr","inc.50.4yr","inc.10.8yr","inc.20.8yr","inc.50.8yr","inc.10.12yr","inc.20.12yr","inc.50.12yr"
"ACAD","Stream","ACHNTR","pH",6.56,0.188679622641132,5,0.0843800924389159,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHNTR","Specific conductance",35.8,2.68328157299975,5,1.2,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHNTR","TP_ug/L",2.46,1.21983605455815,5,0.545527267879434,"min",0.526,0.585,0.739,0.975,0.989,1,0.997,0.999,1
"ACAD","Stream","ACHNTR","Water Temperature",8.92,1.37486362960113,5,0.614857707116045,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","ACOLOR",118.8,26.7525699700048,5,11.96411300515,"min",0.967,0.983,0.998,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","BP_mmHg",750.061842104,3.19356770863703,5,1.42820689745213,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","Discharge",0.1458,0.0789094417671295,5,0.0352893751715725,"min",0.47,0.526,0.679,0.949,0.975,0.998,0.99,0.996,1
"ACAD","Stream","ACHTHB","DO (%)",50.7,9.43133076506174,5,4.21781934179263,"min",0.993,0.997,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","DO_mg.L",4.542,0.69207658535743,5,0.30950605809903,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","pH",5.028,0.256651514704277,5,0.11477804668141,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","Specific conductance",32.6,3.91152144312159,5,1.74928556845359,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","TN_mg/L",0.3416,0.0553561198062148,5,0.0247560093714637,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","TP_ug/L",9.04,3.16354231835138,5,1.41477913470619,"min",0.765,0.82,0.929,1,1,1,1,1,1
"ACAD","Stream","ACHTHB","Water Temperature",12.872,1.82768159152518,5,0.817364055975059,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACJORD","ACOLOR",8.1394,2.46299078358,10,0.778866073211563,"min",0.977,0.989,0.999,1,1,1,1,1,1
"ACAD","Lake","ACJORD","Al_ugL",16.676162,3.40521930313453,10,1.07682489302765,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACJORD","ANC",64.1408,5.60521837814252,10,1.77252568575653,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACJORD","BP_mmHg",745.385593494,4.23386870037153,10,1.3388668407271,"min",1,1,1,1,1,1,1,1,1
