"Project","Park","NETNCode","Site","Date","LabCode","SampleTime","SampleDepth_m","pH_Lab","ANC_ueqL","AppColor_PCU","AppColorFlag","DOC_mgL","DOCFlag","TP_ugL","TPFlag","TN_mgL","TNFlag","NO2_mgL","NO2Flag","NH3_mgL","NH3Flag","NO3_ueqL","NO3Flag","SO4_ueqL","SO4Flag","Cl_ueqL","ClFlag","SEC2016","month","year","mon_year","Date","Sample Time","Stream_Lake Temp","Test Time","Bottle Temp","NH3-N mg/l","NH3 mg/l","PO4mg/L","PO4ug/L","NO2-Nug/l(meter)","NO2 ug/l(meter)","NO2 mg/l(meter)","NO3(strip)","Cl mg/L (meter)","Cl <U+00B5>eq/L (meter)","Cl quantab units (strip)","Cl mg/L (strip)","Cl ueq/L (strip)","Rain Event","QA/QC Notes","month","year"
"NETNStream","ACAD","ACLSIE","Lurvey Spring Brook (Echo Lake inlet)",2017-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACLSIE_20170908","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACOTRC","Otter Creek",2017-05-10,"SWRL",1899-12-31 11:45:00,0.2,6.3,39.46392,12.847,NA,1.818,NA,2.5,NA,0.045,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",38.5919791666667,NA,142.580857142857,NA,"ACOTRC_20170510","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACOTRC","Otter Creek",2017-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACOTRC_20170615","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACOTRC","Otter Creek",2017-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACOTRC_20170710","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACOTRC","Otter Creek",2017-08-02,"SWRL",1899-12-31 14:15:00,0.2,7.041,185.5524,28.435,NA,1.568,NA,5.6,NA,NA,NA,NA,"<MRL 0.001",0.021,NA,NA,"<MRL 1",15.5770833333333,NA,162.102857142857,NA,"ACOTRC_20170802","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACOTRC","Otter Creek",2017-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACOTRC_20170911","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACSTNL","Stanley Brook",2017-05-03,"SWRL",1899-12-31 12:45:00,0.2,6.68,82.96171,58.728,NA,6.068,NA,6,NA,0.186,NA,NA,"<MRL 0.001",0.00916,NA,NA,"<MRL 1",62.2952083333333,NA,659.343043478261,NA,"ACSTNL_20170503","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACSTNL","Stanley Brook",2017-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACSTNL_20170612","06","2017","062017",2017-06-13,"13:10",13,"14:13",NA,0.08,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","2017"
"NETNStream","ACAD","ACSTNL","Stanley Brook",2017-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACSTNL_20170710","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACSTNL","Stanley Brook",2017-08-07,"SWRL",1899-12-31 11:15:00,0.2,7.371,300.0742,19.998,NA,1.609,NA,7.1,NA,NA,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",12.3349206349206,NA,54.2458333333333,NA,472.577142857143,NA,"ACSTNL_20170807","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACSTNL","Stanley Brook",2017-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACSTNL_20170907","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
